Время	T01	T02	T03	T04	T05	T06	T07	T08	T09	P	N2
1543926266282	-1	2	6	2	4	3	3	2	3	147	1
1543926276283	-1	2	6	2	4	3	3	2	3	147	1
1543926286282	-1	2	6	2	4	3	3	2	3	147	1
1543926296284	-1	2	6	2	4	3	3	2	3	147	1
1543926306286	-1	2	6	2	4	3	2	3	3	147	1
1543926316287	-1	2	6	2	4	3	2	2	3	147	1
1543926326288	-1	2	6	2	4	3	2	2	3	147	1
1543926336289	-1	2	6	2	4	3	2	2	3	147	1
1543926346289	-1	2	6	2	4	2	3	2	3	147	1
1543926356290	-1	2	6	2	4	3	3	3	3	148	1
1543926366291	-1	2	6	2	4	3	2	2	3	148	1
1543926376291	-1	2	6	2	4	3	2	3	3	148	1
1543926386291	-1	2	6	2	4	3	3	3	3	148	1
1543926396291	-1	2	6	2	4	2	2	3	3	148	1
1543926406292	-1	2	6	2	4	3	3	3	3	148	1
1543926416294	-1	2	6	2	4	3	3	3	3	148	1
1543926426295	-1	2	6	2	4	3	3	3	3	148	1
1543926436295	-1	2	6	2	4	3	3	3	3	148	1
1543926446296	-1	2	6	2	4	3	2	3	3	148	1
1543926456296	-1	2	6	2	4	2	3	3	3	148	1
1543926466297	-1	2	6	2	4	3	3	3	3	148	1
1543926476297	-1	2	6	2	4	3	3	3	3	148	1
1543926486299	-1	2	6	2	4	3	3	3	3	148	1
1543926496299	-1	2	6	2	4	3	3	3	3	148	1
1543926506302	-1	2	6	2	4	2	3	3	3	148	1
1543926516303	-1	2	6	2	4	3	3	3	3	148	1
1543926526303	-1	2	6	2	4	2	3	3	3	148	1
1543926536304	-1	2	6	2	4	3	3	3	3	148	1
1543926546305	-1	2	6	2	4	2	3	3	3	148	1
1543926556306	-1	2	6	2	4	2	3	3	3	148	1
1543926566307	-1	2	6	2	4	3	3	3	3	149	1
1543926576308	-1	2	6	2	4	3	3	3	3	149	1
1543926586308	-1	2	6	2	4	3	3	3	3	149	1
1543926596309	-1	2	6	2	4	3	3	3	3	149	1
1543926606310	-1	2	6	2	4	3	3	3	3	149	1
1543926616311	-1	2	6	2	4	3	3	3	3	149	1
1543926626312	-1	2	6	2	4	3	3	3	3	149	1
1543926636314	-1	2	6	2	4	3	3	3	3	149	1
1543926646314	-1	2	6	2	4	3	3	3	3	149	1
1543926656315	-1	2	6	2	4	3	3	3	3	149	1
1543926666315	-1	2	6	2	4	3	3	3	3	149	1
1543926676316	-1	2	6	2	4	3	3	3	3	149	1
